"year","cntry","tvtot","happy","health","gndr"
2002,"BE",5,8,1,2
2002,"BE",3,7,3,2
2002,"BE",4,8,2,2
2002,"BE",6,8,1,2
2002,"BE",2,8,1,2
2002,"BE",5,7,2,2
2002,"BE",4,8,2,1
2002,"BE",7,8,2,2
2002,"BE",3,8,1,2
2002,"BE",5,7,2,1
2002,"BE",5,7,2,1
2002,"BE",5,8,2,1
2002,"BE",4,4,2,1
2002,"BE",3,2,2,2
2002,"BE",2,8,2,1
2002,"BE",5,8,1,1
2002,"BE",6,5,2,1
2002,"BE",3,9,2,2
2002,"BE",2,5,3,2
2002,"BE",7,5,3,2
2002,"BE",3,7,2,2
2002,"BE",2,7,2,1
2002,"BE",5,7,3,1
2002,"BE",7,8,2,1
2002,"BE",7,8,1,2
2002,"BE",3,10,2,2
2002,"BE",1,8,3,2
2002,"BE",7,8,1,2
2002,"BE",5,4,2,2
2002,"BE",2,9,1,1
2002,"BE",5,8,2,2
2002,"BE",5,8,3,2
2002,"BE",7,7,4,2
2002,"BE",1,4,4,2
2002,"BE",4,9,1,2
2002,"BE",2,8,1,1
2002,"BE",0,9,3,2
2002,"BE",5,9,1,2
2002,"BE",0,8,2,2
2002,"BE",0,7,1,2
2002,"BE",2,7,2,2
2002,"BE",5,10,1,1
2002,"BE",1,9,2,1
2002,"BE",1,10,3,2
2002,"BE",7,7,1,1
2002,"BE",4,10,2,1
2002,"BE",6,8,1,2
2002,"BE",2,10,1,1
2002,"BE",4,10,5,1
2002,"BE",7,7,3,2
2002,"BE",3,9,1,1
2002,"BE",3,8,3,1
2002,"BE",3,3,1,1
2002,"BE",4,3,4,2
2002,"BE",6,8,3,1
2002,"BE",4,7,2,1
2002,"BE",3,8,2,2
2002,"BE",2,6,2,1
2002,"BE",4,10,2,2
2002,"BE",5,8,2,2
2002,"BE",2,10,2,2
2002,"BE",1,9,2,2
2002,"BE",0,8,2,2
2002,"BE",6,10,2,2
2002,"BE",2,8,3,2
2002,"BE",1,10,3,2
2002,"BE",5,7,2,2
2002,"BE",0,5,3,1
2002,"BE",7,7,2,2
2002,"BE",3,7,2,2
2002,"BE",0,10,1,2
2002,"BE",3,4,2,1
2002,"BE",4,7,2,2
2002,"BE",2,8,1,2
2002,"BE",2,8,1,1
2002,"BE",5,7,2,2
2002,"BE",4,7,2,2
2002,"BE",6,10,2,1
2002,"BE",2,9,1,2
2002,"BE",2,8,1,1
2002,"BE",5,9,1,1
2002,"BE",2,5,2,1
2002,"BE",1,8,2,1
2002,"BE",1,8,2,2
2002,"BE",7,7,1,2
2002,"BE",1,9,1,1
2002,"BE",5,8,2,2
2002,"BE",5,10,1,2
2002,"BE",1,9,1,2
2002,"BE",2,9,1,1
2002,"BE",4,8,2,1
2002,"BE",0,6,2,1
2002,"BE",1,9,3,2
2002,"BE",2,7,1,2
2002,"BE",3,8,1,1
2002,"BE",6,7,2,2
2002,"BE",7,7,3,1
2002,"BE",7,7,3,2
2002,"BE",4,6,3,2
2002,"BE",6,2,4,2
2002,"BE",3,0,5,2
2002,"BE",5,8,2,1
2002,"BE",4,6,2,1
2002,"BE",6,7,2,2
2002,"BE",1,7,2,1
2002,"BE",4,6,2,1
2002,"BE",6,8,3,1
2002,"BE",4,10,1,2
2002,"BE",3,8,2,1
2002,"BE",2,0,4,2
2002,"BE",6,7,2,1
2002,"BE",5,7,4,1
2002,"BE",6,9,2,2
2002,"BE",3,10,2,2
2002,"BE",4,9,2,1
2002,"BE",5,5,2,2
2002,"BE",4,8,2,2
2002,"BE",3,8,2,2
2002,"BE",2,10,2,1
2002,"BE",2,8,2,1
2002,"BE",5,10,2,1
2002,"BE",2,8,2,1
2002,"BE",7,9,2,1
2002,"BE",7,6,2,2
2002,"BE",6,5,3,2
2002,"BE",3,7,2,1
2002,"BE",3,7,2,2
2002,"BE",2,10,1,2
2002,"BE",6,5,2,2
2002,"BE",6,6,2,1
2002,"BE",7,7,2,2
2002,"BE",1,7,1,1
2002,"BE",7,3,3,2
2002,"BE",6,5,2,2
2002,"BE",0,8,1,2
2002,"BE",3,10,1,2
2002,"BE",2,8,2,2
2002,"BE",5,10,3,1
2002,"BE",7,8,4,1
2002,"BE",5,8,2,1
2002,"BE",4,7,2,1
2002,"BE",5,8,1,2
2002,"BE",1,8,2,2
2002,"BE",2,5,2,2
2002,"BE",2,9,1,2
2002,"BE",2,9,2,2
2002,"BE",7,8,3,2
2002,"BE",1,3,3,2
2002,"BE",2,8,2,1
2002,"BE",7,10,1,2
2002,"BE",7,4,4,1
2002,"BE",7,6,3,1
2002,"BE",2,10,2,2
2002,"BE",3,5,1,2
2002,"BE",6,7,1,1
2002,"BE",4,8,4,2
2002,"BE",6,9,2,2
2002,"BE",4,9,2,2
2002,"BE",4,5,2,2
2002,"BE",4,9,2,1
2002,"BE",4,7,2,1
2002,"BE",1,7,3,2
2002,"BE",7,6,2,2
2002,"BE",3,10,2,2
2002,"BE",7,7,2,1
2002,"BE",3,8,1,1
2002,"BE",7,7,2,2
2002,"BE",1,5,1,2
2002,"BE",3,5,3,2
2002,"BE",2,10,1,1
2002,"BE",2,10,2,2
2002,"BE",7,6,5,1
2002,"BE",6,10,2,1
2002,"BE",7,8,4,2
2002,"BE",4,7,2,1
2002,"BE",5,5,3,1
2002,"BE",0,8,2,2
2002,"BE",4,7,1,2
2002,"BE",7,10,2,2
2002,"BE",2,6,4,2
2002,"BE",3,8,1,1
2002,"BE",3,7,1,1
2002,"BE",7,7,3,2
2002,"BE",6,10,2,2
2002,"BE",2,7,2,1
2002,"BE",2,7,2,1
2002,"BE",7,7,3,2
2002,"BE",6,5,2,1
2002,"BE",7,9,3,2
2002,"BE",4,8,2,2
2002,"BE",2,8,1,2
2002,"BE",7,7,3,1
2002,"BE",4,8,3,1
2002,"BE",0,7,2,1
2002,"BE",2,8,2,1
2002,"BE",4,10,2,2
2002,"BE",4,8,1,2
2002,"BE",7,2,2,1
2002,"BE",5,9,2,2
2002,"BE",4,6,4,2
2002,"BE",3,7,4,1
2002,"BE",4,9,2,1
2002,"BE",3,4,2,2
2002,"BE",2,9,1,2
2002,"BE",7,6,2,1
2002,"BE",3,6,1,2
2002,"BE",3,9,2,2
2002,"BE",7,8,2,2
2002,"BE",6,8,2,2
2002,"BE",4,6,2,2
2002,"BE",3,8,2,2
2002,"BE",2,7,3,1
2002,"BE",7,8,3,1
2002,"BE",2,9,2,1
2002,"BE",1,8,2,1
2002,"BE",2,9,1,2
2002,"BE",4,10,2,2
2002,"BE",5,7,3,2
2002,"BE",4,9,2,2
2002,"BE",7,7,1,1
2002,"BE",4,10,3,1
2002,"BE",7,8,1,1
2002,"BE",2,10,2,2
2002,"BE",2,3,3,1
2002,"BE",3,8,3,1
2002,"BE",0,9,1,2
2002,"BE",6,5,3,2
2002,"BE",5,8,1,1
2002,"BE",3,7,1,1
2002,"BE",1,10,1,1
2002,"BE",2,7,2,1
2002,"BE",2,8,3,1
2002,"BE",7,9,2,1
2002,"BE",4,7,2,1
2002,"BE",3,6,2,2
2002,"BE",3,8,1,2
2002,"BE",4,6,1,1
2002,"BE",1,8,2,1
2002,"BE",3,7,2,2
2002,"BE",2,8,2,2
2002,"BE",3,7,2,2
2002,"BE",4,9,2,2
2002,"BE",0,7,2,1
2002,"BE",1,7,4,1
2002,"BE",2,8,2,2
2002,"BE",4,7,2,2
2002,"BE",7,5,2,1
2002,"BE",6,7,2,1
2002,"BE",5,3,3,2
2002,"BE",3,7,3,2
2002,"BE",4,7,3,1
2002,"BE",5,8,1,2
2002,"BE",4,10,2,1
2002,"BE",2,8,2,1
2002,"BE",4,6,2,1
2002,"BE",1,9,2,2
2002,"BE",4,8,2,1
2002,"BE",5,7,2,1
2002,"BE",1,9,1,2
2002,"BE",0,10,2,1
2002,"BE",3,8,2,1
2002,"BE",2,8,2,1
2002,"BE",4,7,2,2
2002,"BE",5,5,3,1
2002,"BE",4,4,2,1
2002,"BE",7,8,2,1
2002,"BE",7,7,1,2
2002,"BE",3,10,1,2
2002,"BE",3,7,2,1
2002,"BE",3,5,2,1
2002,"BE",4,7,3,2
2002,"BE",3,7,3,1
2002,"BE",5,8,2,1
2002,"BE",7,10,1,1
2002,"BE",3,10,1,2
2002,"BE",6,3,1,1
2002,"BE",3,9,2,1
2002,"BE",7,5,2,1
2002,"BE",5,7,2,2
2002,"BE",2,7,2,2
2002,"BE",3,10,3,2
2002,"BE",4,8,1,2
2002,"BE",2,6,2,1
2002,"BE",2,8,2,1
2002,"BE",4,6,3,1
2002,"BE",3,7,2,2
2002,"BE",1,5,1,2
2002,"BE",3,10,3,2
2002,"BE",2,5,2,1
2002,"BE",2,8,2,2
2002,"BE",2,8,2,2
2002,"BE",5,8,2,1
2002,"BE",2,8,2,2
2002,"BE",4,9,2,2
2002,"BE",3,10,2,2
2002,"BE",7,7,2,1
2002,"BE",2,8,1,2
2002,"BE",4,8,1,1
2002,"BE",5,8,1,1
2002,"BE",4,8,2,2
2002,"BE",1,7,1,1
2002,"BE",4,9,1,2
2002,"BE",3,10,2,2
2002,"BE",4,7,1,1
2002,"BE",7,8,3,2
2002,"BE",7,5,5,2
2002,"BE",4,5,2,2
2002,"BE",5,8,3,1
2002,"BE",3,7,3,2
2002,"BE",6,8,2,1
2002,"BE",5,7,1,2
2002,"BE",5,8,1,2
2002,"BE",2,9,2,1
2002,"BE",2,10,2,2
2002,"BE",7,10,3,1
2002,"BE",2,10,2,2
2002,"BE",7,5,3,2
2002,"BE",4,8,3,1
2002,"BE",3,7,2,2
2002,"BE",6,1,1,1
2002,"BE",4,10,2,2
2002,"BE",6,5,2,2
2002,"BE",2,10,2,2
2002,"BE",2,10,2,1
2002,"BE",5,6,1,1
2002,"BE",4,7,1,1
2002,"BE",3,8,2,2
2002,"BE",1,9,1,2
2002,"BE",7,4,3,2
2002,"BE",2,8,2,2
2002,"BE",3,7,2,1
2002,"BE",5,0,1,1
2002,"BE",4,8,2,2
2002,"BE",1,9,2,1
2002,"BE",5,9,1,1
2002,"BE",0,8,2,2
2002,"BE",7,8,3,2
2002,"BE",7,8,3,2
2002,"BE",6,8,2,2
2002,"BE",3,7,2,1
2002,"BE",2,8,2,2
2002,"BE",3,8,2,2
2002,"BE",7,10,2,1
2002,"BE",5,5,4,1
2002,"BE",2,7,2,1
2002,"BE",6,10,3,1
2002,"BE",2,8,3,2
2002,"BE",3,5,2,2
2002,"BE",1,6,1,1
2002,"BE",7,10,1,1
2002,"BE",7,9,2,1
2002,"BE",7,9,2,2
2002,"BE",2,9,2,1
2002,"BE",5,9,2,2
2002,"BE",7,7,2,2
2002,"BE",5,6,1,1
2002,"BE",7,8,2,2
2002,"BE",3,8,2,2
2002,"BE",1,9,1,1
